Gene,log2FoldChange
MUL1,-0.45846692336302364
CDA,-4.1197023265559265
PINK1,-0.6445830252705802
DDOST,-0.004736964036114349
HP1BP3,-1.0225244863050087
EIF4G3,-1.8762198066368905
ECE1,-2.421321312125591
NBPF3,-1.9240149297914648
ALPL,2.328245566742507
USP48,-0.9553002958348884
LINC00339,-0.7910706642152582
CDC42,-1.1228782789966678
ZBTB40,-2.3197935266492307
C1QC,-6.127983872468396
KDM1A,-0.9238635701755872
LUZP1,-1.0105881751368453
HNRNPR,-1.3300627733213992
ZNF436,-0.507221172070204
ZNF436-AS1,1.8460267028146848
TCEA3,5.3189135110395735
ID3,-2.769659098771445
RPL11,-0.20220523276731578
TCEB3,-1.359271894698885
TCEB3-AS1,0.14531099842195466
PITHD1,-0.9590301176307775
LYPLA2,-0.15928027873090767
GALE,2.7869983764416424
HMGCL,1.4248709035631704
FUCA1,0.5497714661861779
PNRC2,-0.8955993676134529
SRSF10,-1.0904309797232565
STPG1,0.6379538578654573
NIPAL3,-0.9718162638068956
RCAN3,-3.484978280937519
SRRM1,-1.0367104344113427
CLIC4,2.4364165824778548
SYF2,-0.35229898930759534
RSRP1,-1.5867651753857501
TMEM50A,-0.7591794186408979
TMEM57,-0.49333538956134987
LDLRAP1,-3.2314311000600986
SEPN1,-1.0155934832475129
MTFR1L,0.4975639859158781
PAQR7,0.43601355178578455
STMN1,-0.7155269950177462
PAFAH2,-1.1070337496996288
PDIK1L,-1.5171046977828788
ZNF593,0.6948044546198809
CEP85,-2.4435456367567094
SH3BGRL3,-2.4641433608244676
UBXN11,-0.4201637552018542
CD52,-4.607975198826728
DHDDS,0.05248021256678263
HMGN2,0.07146597474798717
RPS6KA1,-4.080670824733341
ARID1A,-2.5149758051425515
PIGV,0.35594704313478026
ZDHHC18,-3.1083326672390466
GPN2,-0.8159497432546927
GPATCH3,-1.6923725400911445
NUDC,0.1211857417949761
WDTC1,-1.7512175558364471
TMEM222,0.11059022585109635
SYTL1,-5.119422086089685
WASF2,-0.8461160676477867
AHDC1,0.6342377247441527
IFI6,-0.09485453770388065
FAM76A,-0.792940893982017
STX12,0.00898961841775189
PPP1R8,-1.0633920194547135
THEMIS2,-3.3928305162877743
RPA2,-0.893549183410063
XKR8,-1.8150216895140447
EYA3,-0.9580017649145379
DNAJC8,-0.8517538613220196
ATPIF1,0.8022700887040114
SESN2,-1.0115691760691272
PHACTR4,-0.48073665818015504
RCC1,-0.6785330189784099
TRNAU1AP,-0.5572678130839167
SNHG12,-0.1452134115555325
TAF12,-0.9890175855714672
GMEB1,-2.3221560894072346
YTHDF2,-0.7408330144846139
EPB41,-1.464428957255162
SRSF4,-0.771119041154121
MECR,1.0208163717288585
MATN1-AS1,-0.5716598400828061
LAPTM5,-5.178884131882029
PUM1,-0.9346919747591664
SNRNP40,-1.625342399327255
ZCCHC17,-0.8719629641531609
FABP3,4.674266158998567
SERINC2,5.197260356165246
PEF1,-0.2719771628956689
PTP4A2,-1.607948410572966
KHDRBS1,-0.35125563164414664
TMEM39B,-1.7179786242144393
KPNA6,-0.8812063836724354
TXLNA,-0.46227036978642966
CCDC28B,-1.553988460799479
IQCC,0.6365967641341705
TMEM234,0.689914029014475
