,Eigen,Degree,Between,Between Sub,RWR,RWR Sub
NSA2,0.005938186837875943,0.0169641279377982,0.0018410176691488285,4957.403070931146,0.0005608099330462486,0.0004582194507169082
NUPR1,0.00445594270669753,0.003180773988337162,0.00024333258847264753,900.8031284176396,0.00013089812847578977,7.936826340130666e-05
MAPK8,0.09746743015460643,0.06697296342109914,0.006476704580113768,20238.051844594043,0.0017961104471643581,0.001834879827701751
TP53,0.13531435479349616,0.15426753843435237,0.05257268881798752,176410.26193649622,0.004757532214709949,0.00439109237159852
TYR,0.013245547106726107,0.0065382576426930555,0.0003378811894147946,948.8013729313177,0.0002056692861156028,0.0002534064488880828
REEP5,0.0018578354024620957,0.0017670966601873123,7.588417723002722e-05,253.67460280995076,8.432574277121658e-05,6.932811119526392e-05
EP300,0.0572038522514669,0.045414384166813926,0.005962723774062064,24358.54280101864,0.001324522943746375,0.0011383409590446922
DNMT1,0.032289198386819234,0.02155857925428521,0.002003210640068404,6701.333663824947,0.0006619131695190101,0.0005606013346289429
KDM3A,0.005749285317104002,0.004594451316487012,4.564604078070384e-05,248.75300059796766,0.0001492764073116196,0.00015768161818759666
BECN1,0.04084786366621086,0.027920127230959536,0.003034736527287281,9967.164534509144,0.0008258923548764218,0.0008853847777148864
ANKRD49,0.00043320298336466557,0.0005301289980561937,5.750559078995028e-06,1.5003035891861447,4.333131453255378e-05,1.5609060605294016e-05
ATF4,0.02962842299245769,0.01731754726983566,0.0016926200578946133,4587.564533764805,0.0005412897780745444,0.0005248579514205919
MMP13,0.0342441310393873,0.017670966601873124,0.0024887100840849516,1815.0952295501945,0.0005616850732329262,0.00045788522355223846
MYOD1,0.027766176470909024,0.022795546916416328,0.002071311393944111,6594.518991540178,0.0007000688181379065,0.0005871555164293611
PPARA,0.028041637221682,0.02138186958826648,0.001273870159499206,3675.634189770225,0.0005980500015712323,0.0005681080851961466
FOXO3,0.04999088646546262,0.02986393355716558,0.002137985607701287,7720.172006991042,0.0008444212816635594,0.0008160001087876389
TNP1,0.0009418405602144148,0.0028273546562996997,0.000408943658099409,634.8299224999737,0.00018882363967551836,9.744260820830863e-05
MSL1,0.0009368309842124198,0.0019438063262060435,0.00022045217244530524,43.871386119009046,0.00010997687318702891,4.941502059133455e-05
TRIB3,0.0028643739516059793,0.0026506449902809685,5.8953444499193966e-05,71.12307061940734,0.00011607101998880852,0.00013113551803173076
TP53INP1,0.0018696022096813595,0.002297225658243506,0.0002678260040902179,111.72051398382055,0.00011993813041913793,7.003192981390192e-05
CD63,0.029599096386356594,0.03534193320374625,0.009874650859983323,27721.135364790567,0.0012962803505873763,0.0016375888382043026
SIGLEC15,0.0005718379035278068,0.0012369676621311187,2.084529388919868e-05,8.28484619766892,7.754657448834774e-05,9.985175182365447e-05
HCST,0.015046717044052124,0.021735288920303943,0.0017332256817963916,3555.4849707685416,0.000681305034259916,0.0008252045901883786
GZMB,0.025951258160622926,0.012723095953348649,0.0002888893267628492,983.7839135152298,0.0003385718392749872,0.0003832068194922805
IL2,0.06589188588600553,0.03816928786004595,0.0020445494029675544,5334.271778274929,0.0009642583468876107,0.0009518220624733662
ITGAM,0.07481792326101598,0.05672380279201272,0.004038332928257763,8754.968243933032,0.0014176404010010429,0.0015431877163227272
ZAP70,0.02724064101425932,0.014136773281498498,0.0003348120252647518,1006.2474945578828,0.00037285804686918773,0.0004165715428417066
RHOC,0.02961662039315552,0.019614772928079168,0.0011470735538121697,2903.4428350669746,0.0005550393318786897,0.0006150787384059431
SELL,0.035018983084442255,0.01873122459798551,0.0006291930695584494,1269.3888621727933,0.0004790479293761723,0.0005288819562400803
