,Eigen,Degree,Between,Between Sub,RWR,RWR Sub,eigen_pvalue,degree_pvalue,between_pvalue,betweensub_pvalue,rwr_pvalue,rwrsub_pvalue
GPD1,0.0009214477995238,0.0008835483300936,1.3636971689770634e-05,38.88554660679573,5.461100725600966e-05,2.556204267732276e-05,0.7223250883392226,0.7393992932862191,0.5621254416961131,0.5206680212014134,0.7118579505300353,0.7140664310954064
TALDO1,0.0016251381807521,0.0017670966601873,3.971824925281008e-05,56.55116919198618,8.108672746711089e-05,5.177676645670372e-05,0.5801936395759717,0.5553003533568904,0.4235544169611307,0.47481572438162545,0.5895192579505301,0.678519964664311
ADA,0.0046161251477418,0.0028273546562996,3.761374023227743e-05,95.7493687284866,0.0001008023779556,0.0001171492597807,0.3227952296819788,0.4273851590106007,0.43081325088339223,0.4083120141342756,0.5158521201413427,0.42462473498233216
ADSL,0.0012282741182187,0.001943806326206,2.515696979257945e-05,42.35358597129934,8.824134413538121e-05,5.703822123817647e-05,0.6529802120141343,0.5279151943462898,0.4840416961130742,0.5103358657243816,0.5520835689045936,0.6739104240282685
SVEP1,0.0001609691295523,0.0003534193320374,9.461673716884498e-06,14.63507112543126,4.5042548752972526e-05,1.5277052260286654e-05,0.9624162544169611,1.0,0.6060212014134275,0.6301213780918727,0.7358901060070672,0.7413371024734983
LMF1,0.0002816144758963,0.0007068386640749,4.7616967078914044e-06,11.423995844807722,5.186890246202327e-05,2.4563762922164857e-05,0.9186871024734983,0.7985865724381626,0.680712367491166,0.6550196113074205,0.7176249116607774,0.7161369257950531
TTC39B,0.0002725671211175,0.0007068386640749,1.1366605567552397e-06,3.330798184109508,4.90478158405074e-05,2.234085362369515e-05,0.9221821554770318,0.7985865724381626,0.8078538869257951,0.7633063604240282,0.7242899293286219,0.7211425795053004
HLA-DOA,0.000244987807353,0.0005301289980561,7.837726928934002e-06,4.422401854450336,4.516267746481916e-05,6.975439333606505e-05,0.932084628975265,0.8802120141342756,0.6275731448763251,0.7405667844522968,0.7355273851590106,0.6620687279151943
AGAP5,4.090935786021093e-06,0.0005301289980561,4.914077737280238e-06,5.840336683446004,6.456280710386253e-05,3.200450290239747e-05,0.9999512367491166,0.8802120141342756,0.677476148409894,0.7170243816254417,0.6955106007067138,0.7023270318021202
AGAP4,3.991727958168986e-06,0.0003534193320374,1.0996543880437884e-06,1.369072217974529,5.059710610162662e-05,1.916508869194321e-05,0.9999547703180212,1.0,0.8104450530035335,0.8270033568904593,0.7205162544169611,0.7292833922261485
KIF27,4.89692625437322e-05,0.0003534193320374,5.472117720474578e-06,11.44893212421582,4.698562131834685e-05,7.079705891850166e-05,0.9939929328621908,1.0,0.6663941696113074,0.6548123674911661,0.7297934628975266,0.6608793286219081
KDELR3,4.89692625437322e-05,0.0003534193320374,5.472117720474578e-06,11.44893212421582,4.698562131834685e-05,7.079705891850166e-05,0.9939929328621908,1.0,0.6663941696113074,0.6548123674911661,0.7297934628975266,0.6608793286219081
GOSR1,5.90363687429093e-05,0.0005301289980561,1.5283879530550854e-05,24.731969893848422,5.387018224605154e-05,7.941168098538058e-05,0.991803886925795,0.8802120141342756,0.5479782685512368,0.5733835689045936,0.7133489399293286,0.6288727915194346
SPTB,0.0001380848420459,0.0005301289980561,1.0778860708635736e-05,16.995205622082995,4.636449156591562e-05,7.19285797476271e-05,0.9700863957597173,0.8802120141342756,0.5906902826855124,0.614528445229682,0.7319390459363958,0.6594302120141343
CNGB1,3.136229248817238e-05,0.0008835483300936,5.85152125678605e-06,9.237833311523492,7.05863459263801e-05,0.0001050486320259,0.9972386925795053,0.7393992932862191,0.6594100706713781,0.6755514134275619,0.6815166077738516,0.5273743816254417
GRK7,1.806805408012213e-05,0.0005301289980561,1.8645563184161336e-06,2.1352178153631565,5.426751752085744e-05,8.48203274221983e-05,0.999069964664311,0.8802120141342756,0.7675236749116607,0.7967212014134276,0.7125484098939929,0.5855805653710248
